"Turma","Qual sua faixa etária?","qual o seu gênero?","Selecione seu curso","Quantas disciplinas você matriculou para cursar no semestre?","Que tão motivado se sente em trabalhar em grupo de forma remota?","Qual a disponibilidade de tempo para cursar as disciplinas do semestre?","Selecione as disciplinas nas quais você tenha algum conhecimento ou que já cursou","Sugira um Aplicativo de Comunicação ","Qual o seu nível de experiência utilizando Git/GitHub ou outros sistemas de versionamento?","Qual a sua experiência em teste de software e no uso de ferramentas de teste unitário como JUnit,  Jest ou outras?","Qual a sua experiência no uso de sistemas de integração contínua como Jenkins?","Qual a sua experiência no desenvolvimento de software seguindo métodos ágeis?","Qual a sua experiência no gerenciamento de projetos ágeis?","Em quais das seguintes linguagens de programação você tem experiência?","Quais sistemas de gerenciamento de base de dados tem utilizado?","Qual sua experiência previa no desenvolvimento de software? Por exemplo, como estagiário, freelancer, ou participando em projetos open source, de IC/TCC, entre outros...","Em quais frameworks ou IDEs de desenvolvimento tem experiência?","Como considera seu nível de proficiência em leitura e escuta do Inglês?","Possui uma ideia de SI que possa ser explorada por você e seu grupo durante a disciplina? Se sim, faça uma breve descrição da ideia do SI. (Essa informação ajudará a formar os grupos e definir os projetos da disciplina). ","Em quais dos seguintes tipos de software você sente motivação de trabalhar?","Para quais dominios você teria interesse de construir software?"
2021,"18 a 22 anos","Homem","Sistemas de Informação",7,5,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica)","Engenharia de Software, Desenvolvimento Web, Base de Dados","Discord",3,1,1,1,3,"Python","MySQL, PostgreSQL, MongoDB","Experiência adquirida em projetos de disciplinas","Visual Studio Code",2,"Não tenho ideias. ","Sistemas robóticos / autônomos, Sistemas de IoT, Games","Sociedade, e-Commerce"
2021,"26 a 29 anos","Homem","Sistemas de Informação",7,3,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Base de Dados","WhatsApp",2,1,1,2,1,"Java, JavaScript, php","MySQL","Experiência adquirida em projetos de disciplinas","Netbeans, Visual Studio Code",2,"Ideia específica não, mas algo voltado a Web.  ","Aplicativos Web/Mobile, Sistemas de IoT, Games","Educação, Transporte, e-Commerce"
2022,"18 a 22 anos","Homem","Sistemas de Informação",6,3,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Desenvolvimento Web, Base de Dados, Arquitetura de software","Discord",3,1,1,1,1,"Java, Python, JavaScript, C#, C","MySQL","Experiência adquirida em projetos de disciplinas","Netbeans, Visual Studio Code",5," ","Aplicativos Web/Mobile, Sistemas de IoT, Games","Sociedade, Saúde, Educação, Transporte, e-Commerce"
2022,"18 a 22 anos","Homem","Sistemas de Informação",5,5,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Desenvolvimento Web, Base de Dados","Discord",4,2,1,4,2,"Python, JavaScript, Dart","MySQL, PostgreSQL","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Visual Studio Code",3," ","Aplicativos Web/Mobile, Sistemas baseados em Serviços / Cloud","Sociedade, Saúde, Educação, Meio ambiente"
2022,"23 a 25 anos","Homem","Sistemas de Informação",5,3,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Desenvolvimento Web, Base de Dados, Padrões de projeto, Arquitetura de software","Discord",2,1,1,2,2,"Python, JavaScript","MySQL, PostgreSQL, MongoDB","Experiência adquirida em projetos de disciplinas","Visual Studio Code",5," ","Games, Sistemas baseados em Serviços / Cloud","Sociedade, Saúde, Meio ambiente"
2022,"23 a 25 anos","Homem","Sistemas de Informação",5,5,"Preciso dividir o tempo com TCC E trabalho","Engenharia de Software, Desenvolvimento Web, Base de Dados, Arquitetura de software","Discord",5,1,1,4,1,"JavaScript","MySQL, PostgreSQL","Experiência adquirida em projetos de disciplinas","IntelliJ, Visual Studio Code",2," ","Aplicativos Web/Mobile, Games","Saúde, Educação, Meio ambiente"
2022,"26 a 29 anos","Homem","Sistemas de Informação",4,5,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Desenvolvimento Web, Base de Dados, Padrões de projeto, Arquitetura de software","Discord",5,1,1,5,5,"Java, Python, JavaScript, C++, C#","MySQL, PostgreSQL, Firebase","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Netbeans, Eclipse, IntelliJ, Visual Studio Code, PyCharm",5," ","Sistemas robóticos / autônomos, Games","Sociedade, Entretenimento"
2022,"23 a 25 anos","Homem","Sistemas de Informação",5,1,"Preciso dividir o tempo com o trabalho","Todas","Discord",4,2,2,4,4,"Java, Python, JavaScript, C++, Dart","MySQL","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Netbeans, Eclipse, IntelliJ, Visual Studio Code",2," ","Aplicativos Web/Mobile, Sistemas robóticos / autônomos, Sistemas de IoT, Sistemas de Big Data, Games, Sistemas baseados em Serviços / Cloud","Sociedade, Educação, Finanças"
2022,"23 a 25 anos","Mulher","Sistemas de Informação",2,5,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Base de Dados, Arquitetura de software, Desenvolvimento em Cloud","Discord",5,3,1,5,4,"Python, JavaScript, PHP","MySQL, PostgreSQL, MongoDB","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Visual Studio Code",5," ","Aplicativos Web/Mobile","Sociedade, Saúde, Educação, Meio ambiente"
2022,"18 a 22 anos","Homem","Sistemas de Informação",7,5,"Preciso dividir o tempo com o trabalho","Todas","Discord",3,1,4,4,3,"Python","MySQL, PostgreSQL","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Visual Studio Code, PyCharm",4," ","Sistemas de Big Data, Sistemas baseados em Serviços / Cloud","Finanças"
2022,"18 a 22 anos","Homem","Sistemas de Informação",6,4,"Pretendo ter dedicação exclusiva (40h por semana)","Engenharia de Software, Desenvolvimento Web, Base de Dados, Arquitetura de software","Discord",4,1,1,1,1,"Python, JavaScript, C#","MySQL, PostgreSQL, Firebase","Experiência adquirida em projetos de disciplinas","Netbeans, Visual Studio Code, PyCharm",5," ","Aplicativos Web/Mobile, Games","Sociedade, Saúde, Meio ambiente, Transporte, e-Commerce"
2022,"23 a 25 anos","Homem","Sistemas de Informação",4,1,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Base de Dados, Padrões de projeto, Arquitetura de software","Discord",2,1,1,3,2,"Python, JavaScript, C#, Dart","MySQL, PostgreSQL","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Visual Studio Code",4," ","Aplicativos Web/Mobile, Sistemas robóticos / autônomos, Sistemas de IoT, Games, Sistemas baseados em Serviços / Cloud","Sociedade, Saúde, Educação, Meio ambiente"
2022,"36 a 40 anos","Homem","Sistemas de Informação",5,5,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Base de Dados","Discord",2,2,1,1,1,"Python, C#","PostgreSQL","Experiência adquirida em projetos de disciplinas","Visual Studio Code",3," ","Aplicativos Web/Mobile, Sistemas robóticos / autônomos, Sistemas de IoT","Sociedade, Educação, Finanças"
2022,"18 a 22 anos","Homem","Sistemas de Informação",6,1,"Preciso dividir o tempo com o trabalho","Desenvolvimento Web, Padrões de projeto","Discord",3,3,1,4,4,"JavaScript, C","MySQL, PostgreSQL","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Visual Studio Code",2," ","Aplicativos Web/Mobile, Sistemas baseados em Serviços / Cloud","Saúde, Meio ambiente, Finanças"
2022,"18 a 22 anos","Homem","Sistemas de Informação",7,2,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Padrões de projeto, Arquitetura de software","Discord",2,1,1,3,3,"Java, JavaScript, C#","MySQL, PostgreSQL, Firebase","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Netbeans, Visual Studio Code",1," ","Aplicativos Web/Mobile, Games","Sociedade, Educação, e-Commerce"
2022,"18 a 22 anos","Homem","Sistemas de Informação",8,1,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Arquitetura de software","Discord",5,1,1,1,1,"Python, JavaScript, C++","MySQL","Experiência adquirida em projetos de disciplinas","Visual Studio Code",5," ","Aplicativos Web/Mobile","Sociedade, Saúde, Educação, Finanças, e-Commerce"
2022,"18 a 22 anos","Homem","Sistemas de Informação",5,4,"Pretendo ter dedicação exclusiva (40h por semana)","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Arquitetura de software","Discord",3,1,1,4,4,"JavaScript","MySQL, PostgreSQL, MongoDB","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Visual Studio Code",5," ","Aplicativos Web/Mobile, Sistemas de IoT","Finanças, e-Commerce"
2022,"18 a 22 anos","Homem","Ciências da Computação",11,5,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Banco de Dados","Discord",2,1,1,2,1,"Python, C#","MySQL, PostgreSQL","Experiência adquirida em projetos de disciplinas","Visual Studio Code",5," ","Games","Sociedade"
2022,"30 a 35 anos","Homem","Sistemas de Informação",8,2,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Banco de Dados, Arquitetura de software","Telegram",2,1,1,1,1,"Python, C++","PostgreSQL","Experiência adquirida em projetos de disciplinas","Visual Studio Code",1," ","Aplicativos Web/Mobile, Sistemas baseados em Serviços / Cloud","Sociedade, Finanças"
2022,"18 a 22 anos","Homem","Ciências da Computação",3,4,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Banco de Dados, Arquitetura de software","Discord",4,4,1,4,4,"Java, Python, JavaScript, C++, C#","PostgreSQL","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Visual Studio Code",4," ","Aplicativos Web/Mobile, Sistemas robóticos / autônomos, Sistemas de IoT, Sistemas de Big Data, Games, Sistemas baseados em Serviços / Cloud","Sociedade, Saúde, Educação, Meio ambiente, Transporte, Finanças, e-Commerce"
2022,"18 a 22 anos","Homem","Sistemas de Informação",6,2,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Banco de Dados","Discord",1,1,1,1,1,"Python, JavaScript","MySQL, PostgreSQL, MongoDB","Experiência adquirida em projetos de disciplinas","Visual Studio Code",4," ","Aplicativos Web/Mobile, Sistemas de IoT","Educação"
2022,"23 a 25 anos","Mulher","Sistemas de Informação",5,5,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Arquitetura de software","Discord",3,1,1,4,4,"Python","MySQL, PostgreSQL","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Visual Studio Code",4," ","Aplicativos Web/Mobile, Sistemas de Big Data, Games","Sociedade, Saúde, Meio ambiente, e-Commerce"
2022,"18 a 22 anos","Mulher","Sistemas de Informação",6,2,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Arquitetura de software","Discord",4,3,1,4,1,"JavaScript, Dart","MySQL, PostgreSQL, Firebase","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Visual Studio Code",5," ","Aplicativos Web/Mobile, Sistemas robóticos / autônomos, Sistemas de IoT, Sistemas baseados em Serviços / Cloud","Sociedade, Saúde, Educação, Meio ambiente, Transporte, Finanças"
2022,"26 a 29 anos","Homem","Sistemas de Informação",7,1,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Padrões de projeto, Arquitetura de software","Discord",4,3,1,4,3,"JavaScript","MySQL, PostgreSQL","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Visual Studio Code",4," ","Aplicativos Web/Mobile","Sociedade, Meio ambiente"
2022,"18 a 22 anos","Homem","Sistemas de Informação",7,4,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Banco de Dados","Discord",4,1,1,4,1,"JavaScript","MySQL, PostgreSQL, MongoDB","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Visual Studio Code",3," ","Aplicativos Web/Mobile","Saúde"
2022,"23 a 25 anos","Mulher","Sistemas de Informação",6,3,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Banco de Dados","Discord",1,1,1,1,1,"Python","MySQL, PostgreSQL","Experiência adquirida em projetos de disciplinas","Visual Studio Code",5," ","Aplicativos Web/Mobile, Games","Sociedade, e-Commerce"
2022,"23 a 25 anos","Homem","Sistemas de Informação",6,3,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Desenvolvimento Web, Banco de Dados","Discord",2,1,1,1,1,"Java, Python, JavaScript","MySQL, PostgreSQL, MongoDB","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Netbeans, Eclipse, Visual Studio Code",4," ","Aplicativos Web/Mobile, Sistemas robóticos / autônomos, Games","Sociedade, Saúde, Educação, e-Commerce"
2022,"23 a 25 anos","Homem","Sistemas de Informação",8,5,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Padrões de projeto, Arquitetura de software","Telegram",5,4,1,5,5,"Java, Python, JavaScript, Dart","PostgreSQL","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Visual Studio Code, PyCharm",3," ","Aplicativos Web/Mobile","Sociedade, Saúde, Educação, Meio ambiente, Transporte, Finanças, e-Commerce"
2022,"23 a 25 anos","Homem","Sistemas de Informação",2,4,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Padrões de projeto, Arquitetura de software","Discord",3,1,1,4,1,"JavaScript","MySQL, PostgreSQL","Experiência adquirida em projetos de disciplinas","Visual Studio Code",5," ","Aplicativos Web/Mobile, Games","Sociedade, Educação"
2022,"23 a 25 anos","Homem","Sistemas de Informação",5,4,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Desenvolvimento Web, Banco de Dados","Discord",1,1,1,1,1,"Python, C++, C#","MySQL","Experiência adquirida em projetos de disciplinas","Visual Studio Code",3," ","Aplicativos Web/Mobile, Sistemas robóticos / autônomos, Sistemas de IoT, Games","Sociedade, Saúde, Educação, Meio ambiente, e-Commerce"
2022,"26 a 29 anos","Homem","Sistemas de Informação",4,4,"Preciso dividir o tempo com o trabalho","Todas","Discord",5,5,5,5,5,"Java, Python, JavaScript, Dart","MySQL, PostgreSQL","Experiência na indústria, como freelancer  ou com projetos open-source > 5 anos","Netbeans, Eclipse, IntelliJ, Visual Studio Code",5,"Aplicativo de apoio ao piloto de avião","Aplicativos Web/Mobile, Sistemas baseados em Serviços / Cloud","Educação, Transporte, Finanças"
2022,"23 a 25 anos","Homem","Sistemas de Informação",6,5,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Banco de Dados, Arquitetura de software, Desenvolvimento em Cloud","Discord",4,1,1,5,5,"Java, Python, Dart","MySQL","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Visual Studio Code",5," ","Aplicativos Web/Mobile, Sistemas robóticos / autônomos, Sistemas de IoT, Games, Sistemas baseados em Serviços / Cloud","Sociedade, Saúde, Educação"
2022,"18 a 22 anos","Homem","Ciências da Computação",4,4,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Arquitetura de software","WhatsApp",3,4,2,3,3,"Java, Python, JavaScript, C++","MySQL, PostgreSQL, MongoDB","Experiência adquirida em projetos de disciplinas","Visual Studio Code, repl.it",4," ","Aplicativos Web/Mobile, Sistemas robóticos / autônomos, Games","Sociedade, Saúde, Transporte, Finanças"
2023,"23 a 25 anos","Homem","Sistemas de Informação",5,4,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Arquitetura de software","Discord",3,2,1,3,3,"JavaScript, C++","MySQL, PostgreSQL, MongoDB","Experiência adquirida em projetos de disciplinas","Eclipse, IntelliJ, Visual Studio Code, PyCharm",4," ","Aplicativos Web/Mobile, Sistemas robóticos / autônomos, Sistemas de IoT, Sistemas de Big Data, Sistemas baseados em Serviços / Cloud","Sociedade, Saúde, Educação, Transporte, Finanças"
2023,"18 a 22 anos","Mulher","Ciências da Computação",2,3,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Arquitetura de software","Discord",2,2,1,2,2,"Python, C++, C#","MySQL, PostgreSQL, Firebase","Experiência adquirida em projetos de disciplinas","Visual Studio Code",4," ","Sistemas robóticos / autônomos, Sistemas de IoT, Sistemas de Big Data, Games","Saúde, Finanças, e-Commerce"
2023,"23 a 25 anos","Homem","Sistemas de Informação",5,5,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Padrões de projeto, Arquitetura de software, Desenvolvimento em Cloud, Todas","Discord",3,3,1,4,1,"Python, Php","MySQL, PostgreSQL","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Visual Studio Code",3," ","Aplicativos Web/Mobile","Finanças"
2023,"> 40 anos","Mulher","Sistemas de Informação",5,5,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Todas","Discord",3,1,1,4,4,"Python","MySQL, PostgreSQL, MongoDB","Experiência adquirida em projetos de disciplinas","Visual Studio Code, PyCharm",3," ","Aplicativos Web/Mobile","Sociedade, Saúde, Educação, Meio ambiente, Transporte, Finanças, e-Commerce"
2023,"18 a 22 anos","Homem","Sistemas de Informação",5,4,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Desenvolvimento Web, Banco de Dados","Discord",1,1,1,1,1,"Python","PostgreSQL","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","PyCharm",4," ","Aplicativos Web/Mobile, Games","Sociedade, Saúde, Finanças"
2023,"26 a 29 anos","Homem","Sistemas de Informação",4,5,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Banco de Dados","Discord",1,1,1,2,1,"Python, JavaScript, Php","MySQL, PostgreSQL, Firebase","Experiência adquirida em projetos de disciplinas","Visual Studio Code",2," ","Aplicativos Web/Mobile","Não tenho preferência por uma específica "
2023,"26 a 29 anos","Homem","Sistemas de Informação",3,4,"Preciso dividir o tempo com o trabalho","Todas","Discord",5,3,2,4,4,"Python, JavaScript, C#","PostgreSQL","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Eclipse, Visual Studio Code, PyCharm",4," ","Aplicativos Web/Mobile, Sistemas baseados em Serviços / Cloud","Saúde, Transporte, Finanças"
2023,"18 a 22 anos","Homem","Sistemas de Informação",6,2,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Arquitetura de software","Discord",1,1,1,2,2,"Python","MySQL, PostgreSQL, MongoDB","Experiência adquirida em projetos de disciplinas","Visual Studio Code",4," ","Sistemas de IoT, Games","Sociedade, Lazer"
2023,"18 a 22 anos","Homem","Sistemas de Informação",8,3,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Padrões de projeto, Desenvolvimento em Cloud","Discord",5,1,1,4,4,"Java, Python, JavaScript","MySQL, PostgreSQL","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Netbeans, Visual Studio Code",2," ","Aplicativos Web/Mobile, Sistemas baseados em Serviços / Cloud","Sociedade, Educação, e-Commerce"
2023,"18 a 22 anos","Homem","Sistemas de Informação",6,5,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Padrões de projeto","Discord",3,1,1,1,1,"Python, JavaScript, C#","MySQL, PostgreSQL, Firebase","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Visual Studio Code",5," ","Aplicativos Web/Mobile, Games","Educação, Finanças"
2023,"18 a 22 anos","Homem","Sistemas de Informação",6,5,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Desenvolvimento em Cloud","Discord",4,3,1,4,4,"Java, Python, JavaScript","MySQL, PostgreSQL","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Netbeans, Eclipse, Visual Studio Code, PyCharm",4," ","Aplicativos Web/Mobile, Games, Sistemas baseados em Serviços / Cloud","Sociedade, Saúde, Educação, Meio ambiente, Transporte, e-Commerce"
2023,"18 a 22 anos","Homem","Sistemas de Informação",6,5,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Desenvolvimento Web, Banco de Dados","Discord",3,3,1,3,3,"Python, JavaScript","MySQL, PostgreSQL, MongoDB","Experiência adquirida em projetos de disciplinas","Visual Studio Code",3," ","Sistemas robóticos / autônomos, Sistemas de Big Data","Sociedade, Transporte, Finanças"
2023,"23 a 25 anos","Homem","Sistemas de Informação",6,5,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Arquitetura de software","Discord",4,1,1,4,4,"Python, JavaScript","MySQL, PostgreSQL, Firebase","Experiência adquirida em projetos de disciplinas","Visual Studio Code",4," ","Aplicativos Web/Mobile","Sociedade, Meio ambiente, e-Commerce"
2023,"18 a 22 anos","Homem","Sistemas de Informação",5,4,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Padrões de projeto, Arquitetura de software","Discord",3,1,1,5,3,"Python, JavaScript, C++","MySQL, PostgreSQL, Firebase","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Visual Studio Code, PyCharm",4," ","Aplicativos Web/Mobile","Sociedade, Meio ambiente, Finanças"
2023,"18 a 22 anos","Homem","Sistemas de Informação",6,5,"Preciso dividir o tempo com o trabalho","Todas","Discord",4,3,3,4,1,"Python, JavaScript, Dart","MySQL","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Visual Studio Code, PyCharm",3," ","Aplicativos Web/Mobile, Sistemas baseados em Serviços / Cloud","Sociedade, Saúde, Educação, Meio ambiente, Transporte, Finanças"
2023,"23 a 25 anos","Homem","Sistemas de Informação",6,5,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Padrões de projeto, Arquitetura de software","Discord",3,3,1,4,4,"Java, JavaScript","MySQL, PostgreSQL, MongoDB","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Eclipse, Visual Studio Code",3," ","Aplicativos Web/Mobile","Saúde, e-Commerce"
2023,"18 a 22 anos","Homem","Sistemas de Informação",6,4,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Padrões de projeto","Discord",4,1,2,3,4,"Java, Python, JavaScript, C#, Dart","PostgreSQL","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Visual Studio Code",3," ","Aplicativos Web/Mobile, Sistemas de IoT","Sociedade, Saúde, Educação, Meio ambiente"
2023,"23 a 25 anos","Homem","Sistemas de Informação",4,5,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Desenvolvimento Web, Banco de Dados","Discord",3,1,1,1,4,"Python, JavaScript, C++","MySQL, PostgreSQL, Firebase","Experiência adquirida em projetos de disciplinas","Visual Studio Code",4," ","Aplicativos Web/Mobile, Games, Sistemas baseados em Serviços / Cloud","Saúde, Educação, Finanças, e-Commerce"
2023,"23 a 25 anos","Homem","Sistemas de Informação",6,3,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Padrões de projeto, Arquitetura de software","Discord",1,1,1,2,1,"Python","MySQL, PostgreSQL","Experiência adquirida em projetos de disciplinas","Visual Studio Code",5," ","Bubble.io Low Code","Saúde, Educação, Meio ambiente, Finanças, e-Commerce"
2023,"23 a 25 anos","Homem","Sistemas de Informação",4,5,"Preciso dividir o tempo com o trabalho","Todas","Discord",4,3,3,4,4,"Python, JavaScript, Dart, Typescript","MySQL","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Visual Studio Code, PyCharm",4," ","Aplicativos Web/Mobile, Sistemas de IoT, Sistemas baseados em Serviços / Cloud","Sociedade, Educação, Transporte, e-Commerce"
2023,"23 a 25 anos","Mulher","Sistemas de Informação",5,5,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Desenvolvimento Web, Banco de Dados","Discord",5,3,1,5,5,"Python, JavaScript, Dart, Php","PostgreSQL","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Eclipse, Visual Studio Code",5," ","Aplicativos Web/Mobile, Sistemas de Big Data, Games","Sociedade, Saúde, Educação"
2023,"18 a 22 anos","Mulher","Sistemas de Informação",5,2,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Arquitetura de software","Discord",4,1,1,4,4,"JavaScript, C++","MySQL, PostgreSQL, Firebase","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Netbeans, Visual Studio Code",4," ","Sistemas robóticos / autônomos, Sistemas de IoT, Games, Sistemas baseados em Serviços / Cloud","Sociedade, Saúde, Educação, Meio ambiente, Transporte, e-Commerce"
2023,"18 a 22 anos","Homem","Sistemas de Informação",7,5,"Pretendo ter dedicação exclusiva (40h por semana)","Engenharia de Software, Banco de Dados, Arquitetura de software","Discord",3,2,1,3,2,"Python, JavaScript","PostgreSQL","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Visual Studio Code",5," ","Aplicativos Web/Mobile","Meio ambiente, Transporte, Finanças, e-Commerce"
2023,"18 a 22 anos","Homem","Sistemas de Informação",6,5,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Padrões de projeto","Discord",3,1,1,4,3,"Python, JavaScript, C#","MySQL, PostgreSQL, MongoDB","Experiência adquirida em projetos de disciplinas","Visual Studio Code",4," ","Aplicativos Web/Mobile","Saúde, Educação, Finanças"
2023,"18 a 22 anos","Homem","Sistemas de Informação",5,4,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Banco de Dados, Padrões de projeto, Arquitetura de software, Desenvolvimento em Cloud, Todas","Discord",4,4,4,4,3,"JavaScript, C++, Typescript","MySQL, PostgreSQL","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Netbeans, Visual Studio Code",5," ","Sistemas baseados em Serviços / Cloud","Finanças"
2023,"23 a 25 anos","Mulher","Sistemas de Informação",6,4,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Desenvolvimento Web, Banco de Dados","Discord",2,1,1,1,1,"JavaScript","MySQL, PostgreSQL, Firebase","Experiência adquirida em projetos de disciplinas","Visual Studio Code",4," ","Aplicativos Web/Mobile, Sistemas robóticos / autônomos, Games","Sociedade, Saúde, Educação, Meio ambiente, Finanças"
2023,"23 a 25 anos","Mulher","Sistemas de Informação",4,2,"Preciso dividir o tempo com o trabalho","Desenvolvimento Web","Discord",2,1,1,2,1,"JavaScript","MySQL, PostgreSQL","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Visual Studio Code",1," ","Aplicativos Web/Mobile","e-Commerce"
